time_index,area,num_people
1,Outside,103
1,GH,8
1,K,16
1,N,1
1,G,10
1,B,3
1,D,14
1,E,10
1,F,11
1,H,7
1,J,4
1,IM1,12
1,IM2,6
1,C,8
1,L,3
1,M,1
1,A,0
2,Outside,121
2,GH,8
2,K,12
2,N,2
2,G,11
2,B,5
2,D,10
2,E,11
2,F,9
2,H,10
2,J,2
2,IM1,7
2,IM2,2
2,C,4
2,L,2
2,M,1
2,A,0
3,Outside,110
3,GH,6
3,K,10
3,N,1
3,G,15
3,B,1
3,D,19
3,E,14
3,F,11
3,H,10
3,J,2
3,IM1,16
3,IM2,4
3,C,6
3,L,2
3,M,1
3,A,0
4,Outside,130
4,GH,7
4,K,7
4,N,2
4,G,12
4,B,4
4,D,13
4,E,7
4,F,10
4,H,7
4,J,4
4,IM1,19
4,IM2,5
4,C,3
4,L,1
4,M,2
4,A,0
5,Outside,118
5,GH,14
5,K,10
5,N,2
5,G,14
5,B,6
5,D,11
5,E,12
5,F,6
5,H,8
5,J,4
5,IM1,16
5,IM2,4
5,C,3
5,L,0
5,M,1
5,A,0
6,Outside,116
6,GH,7
6,K,4
6,N,1
6,G,16
6,B,3
6,D,15
6,E,14
6,F,9
6,H,8
6,J,6
6,IM1,21
6,IM2,2
6,C,6
6,L,4
6,M,1
6,A,0
7,Outside,114
7,GH,7
7,K,6
7,N,2
7,G,23
7,B,8
7,D,13
7,E,13
7,F,10
7,H,8
7,J,4
7,IM1,13
7,IM2,0
7,C,3
7,L,3
7,M,1
7,A,0
8,Outside,96
8,GH,2
8,K,12
8,N,2
8,G,13
8,B,6
8,D,15
8,E,19
8,F,11
8,H,11
8,J,7
8,IM1,16
8,IM2,8
8,C,4
8,L,4
8,M,2
8,A,0
9,Outside,116
9,GH,5
9,K,8
9,N,2
9,G,17
9,B,7
9,D,9
9,E,15
9,F,6
9,H,12
9,J,7
9,IM1,16
9,IM2,0
9,C,7
9,L,4
9,M,1
9,A,0
10,Outside,106
10,GH,7
10,K,10
10,N,2
10,G,20
10,B,5
10,D,12
10,E,15
10,F,5
10,H,9
10,J,5
10,IM1,17
10,IM2,4
10,C,8
10,L,4
10,M,0
10,A,0
11,Outside,113
11,GH,10
11,K,12
11,N,1
11,G,16
11,B,6
11,D,11
11,E,7
11,F,9
11,H,9
11,J,5
11,IM1,18
11,IM2,5
11,C,8
11,L,5
11,M,0
11,A,0
12,Outside,114
12,GH,9
12,K,4
12,N,1
12,G,11
12,B,6
12,D,7
12,E,10
12,F,13
12,H,14
12,J,5
12,IM1,10
12,IM2,8
12,C,4
12,L,4
12,M,1
12,A,0
13,Outside,100
13,GH,15
13,K,10
13,N,2
13,G,10
13,B,5
13,D,11
13,E,7
13,F,19
13,H,6
13,J,8
13,IM1,16
13,IM2,6
13,C,6
13,L,5
13,M,1
13,A,0
14,Outside,107
14,GH,9
14,K,8
14,N,2
14,G,11
14,B,5
14,D,11
14,E,19
14,F,8
14,H,6
14,J,8
14,IM1,18
14,IM2,7
14,C,6
14,L,3
14,M,2
14,A,0
15,Outside,116
15,GH,4
15,K,11
15,N,3
15,G,9
15,B,8
15,D,14
15,E,14
15,F,10
15,H,9
15,J,4
15,IM1,13
15,IM2,6
