zone,MAE,MAPE(%),RMSE,R2
A,0.84474778175354,83.5627794265747,0.9232082747268733,-3.177931785583496
B,6.5526251792907715,13.387542963027954,10.048962318406703,0.94225013256073
C,5.768128871917725,11.191559582948685,8.214356150828637,0.9634148478507996
D,5.348071098327637,11.535541713237762,7.134041386814984,0.9568468928337097
E,4.579334735870361,12.113651633262634,5.9345043455534325,0.8921626806259155
F,3.8501811027526855,12.499018758535385,5.127295375481272,0.889125406742096
G,3.7527077198028564,12.039651721715927,5.116387177992587,0.8966658711433411
GH,1.914467692375183,15.454347431659698,2.477945128331335,0.7301148772239685
H,4.986778736114502,10.580341517925262,6.943063240872004,0.9668628573417664
IM1,8.085418701171875,16.289769113063812,11.755781334109214,0.9153481721878052
IM2,5.055793762207031,21.362358331680298,7.769113658885274,0.9372105002403259
J,3.528719425201416,15.852516889572144,5.049937544332618,0.9775869846343994
K,3.138353109359741,18.50336045026779,4.361488622914486,0.9354785084724426
L,2.630809783935547,19.367162883281708,3.7466523805076672,0.9064744710922241
M,1.3611774444580078,33.01972150802612,1.9997162617640225,0.7953956127166748
N,1.073764443397522,44.598451256752014,1.4311106951356234,0.7868062853813171
Outside,69.76388549804688,18.915626406669617,87.91616989887298,0.49857455492019653
