zone,MAE,MAPE(%),RMSE,R2
A,0.28092411160469055,25.809109210968018,0.37062267720876063,0.3256298899650574
B,6.292418956756592,13.572199642658234,9.868186821550326,0.9450576901435852
C,5.383410453796387,11.054917424917221,7.8257463385683055,0.967894971370697
D,4.801074981689453,11.299078911542892,6.481257486660937,0.9654204845428467
E,4.246186256408691,11.661174148321152,5.586595275137485,0.9093742966651917
F,3.7062902450561523,12.470625340938568,4.931078441038513,0.8998099565505981
G,3.610107183456421,11.91997230052948,4.917787434914698,0.9052090644836426
GH,1.8717681169509888,15.081100165843964,2.4311317003196917,0.7347149848937988
H,4.717886924743652,10.337135195732117,6.660212094249015,0.9700725078582764
IM1,7.84058952331543,16.43223464488983,11.651756422719066,0.9186820387840271
IM2,4.81915283203125,20.171117782592773,7.578145638663906,0.9398317337036133
J,3.2757303714752197,14.491981267929077,4.752801370230841,0.980014443397522
K,2.860990524291992,16.37893319129944,4.036876920920206,0.9440803527832031
L,2.4377589225769043,16.652823984622955,3.4726524052636196,0.9173507690429688
M,1.116564393043518,24.409061670303345,1.7247606774876172,0.846834659576416
N,0.858964741230011,29.28260564804077,1.2487346443553349,0.833365261554718
Outside,12.12214469909668,4.329944774508476,16.26858443748593,0.9834520816802979
